Q.NO.,Q.Type,Date,Ministry,Member,Subject,links
1795,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Chazhikadan,Shri Thomas",School Dropouts of Girls,http://164.100.24.220/loksabhaquestions/annex/178/AU1795.pdf
1793,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Reddy,Shri Anumula Revanth",Utilisation of Nirbhaya Fund,http://164.100.24.220/loksabhaquestions/annex/178/AU1793.pdf
1787,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Kashyap,Shri Dharmendra Kumar",Implementation of PMMVY in Uttar Pradesh,http://164.100.24.220/loksabhaquestions/annex/178/AU1787.pdf
1773,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Tadas,Shri Ramdas Chandrabhanji",Amendment in Sexual Harassment at Workplace Act,http://164.100.24.220/loksabhaquestions/annex/178/AU1773.pdf
1760,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Sahoo,Shri Mahesh",Budgetary Allocation to Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/178/AU1760.pdf
1755,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Kumari,Ms. Diya",Sanitary Napkin Dispensers,http://164.100.24.220/loksabhaquestions/annex/178/AU1755.pdf
1752,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Sudhakaran,Shri Kumbakudi",Sakhi/One Stop Centre,http://164.100.24.220/loksabhaquestions/annex/178/AU1752.pdf
1751,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Dharmapuri,Shri Arvind",POSHAN Abhiyan,http://164.100.24.220/loksabhaquestions/annex/178/AU1751.pdf
1749,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Sarangi,Smt. Aparajita",Funds to One Stop Centres,http://164.100.24.220/loksabhaquestions/annex/178/AU1749.pdf
1725,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Bapat,Shri Girish Bhalchandra,Sahu,Shri Chandra Sekhar,Munde,Dr. Pritam Gopinath,Shewale,Shri Rahul Ramesh",Provisions for Adoptive and Biological Mothers,http://164.100.24.220/loksabhaquestions/annex/178/AU1725.pdf
1719,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Oram,Shri Jual",Missing Children,http://164.100.24.220/loksabhaquestions/annex/178/AU1719.pdf
1718,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Nallakonda Gari,Shri Reddeppa,Reddy,Shri Magunta Sreenivasulu",Utilisation of Funds in Anganwadi,http://164.100.24.220/loksabhaquestions/annex/178/AU1718.pdf
1716,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Khaleque, Shri Abdul",Shelter Homes,http://164.100.24.220/loksabhaquestions/annex/178/AU1716.pdf
1715,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Owaisi,Shri Asaduddin",Cases of Violence and Harassment,http://164.100.24.220/loksabhaquestions/annex/178/AU1715.pdf
1713,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Goswami,Shri Dulal Chandra,Chudasama,Shri Rajeshbhai Naranbhai",Swadhar Greh Scheme,http://164.100.24.220/loksabhaquestions/annex/178/AU1713.pdf
1711,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Mahtab,Shri Bhartruhari,Karunanidhi,Smt. Kanimozhi",Crime against Women,http://164.100.24.220/loksabhaquestions/annex/178/AU1711.pdf
1708,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Panda,Shri Basanta Kumar",Schemes under Ministry,http://164.100.24.220/loksabhaquestions/annex/178/AU1708.pdf
1701,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Jawed,Dr. Mohammad,Ruhi,Ms. Nusrat Jahan,Benny,Shri Behanan,Prathapan,Shri T.N.,Dhanorkar,Shri Balubhau (Alias Suresh Narayan),Antony, Shri Anto",Underweight Children,http://164.100.24.220/loksabhaquestions/annex/178/AU1701.pdf
1694,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Unmesh Bhaiyyasaheb,Gavit,Dr. Heena Vijaykumar,Poddar,Smt. Aparupa ,Gavit,Shri Rajendra Dhedya ,Yadav,Shri Krishna Pal Singh,Shinde,Dr. Shrikant Eknath",Projects under Nirbhaya Fund,http://164.100.24.220/loksabhaquestions/annex/178/AU1694.pdf
1693,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Bisen,Dr. Dhal Singh",Child Marriage,http://164.100.24.220/loksabhaquestions/annex/178/AU1693.pdf
1681,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Jothimani,Ms. S.",Budgetary Allocation,http://164.100.24.220/loksabhaquestions/annex/178/AU1681.pdf
1676,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Shyal,Dr. Bharatiben Dhirubhai,Lalwani,Shri Shankar",Kishori Health Card,http://164.100.24.220/loksabhaquestions/annex/178/AU1676.pdf
1673,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Joshi,Shri Chandra Prakash",Mahila Shakti Kendra,http://164.100.24.220/loksabhaquestions/annex/178/AU1673.pdf
1667,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Chakraborty,Ms. Mimi,Sangma,Kum. Agatha K.",POSHAN Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/178/AU1667.pdf
1650,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Sinha,Shri Jayant",Pradhan Mantri Matru Vandana Yojana,http://164.100.24.220/loksabhaquestions/annex/178/AU1650.pdf
1648,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Gupta,Shri Sangamlal Kadedin,Singh,Shri Brijbhushan Sharan,Sarangi,Shri Pratap Chandra",Cases of Domestic Violence and Child Abuse,http://164.100.24.220/loksabhaquestions/annex/178/AU1648.pdf
1645,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Prakash,Adv. Adoor",Suicide Cases of Tribal Girls,http://164.100.24.220/loksabhaquestions/annex/178/AU1645.pdf
1640,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Chaudhuri,Ms. Debasree,Vajendla Rao,Smt. Poonam (Mahajan),Vishnu Prasad,Dr. M.K.",Cases of Sexual Harassment,http://164.100.24.220/loksabhaquestions/annex/178/AU1640.pdf
1628,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Rudy,Shri Rajiv Pratap",ICDS in Bihar,http://164.100.24.220/loksabhaquestions/annex/178/AU1628.pdf
1627,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Venkatesan,Shri S.",Sexual Harassment of Girl Children in Schools,http://164.100.24.220/loksabhaquestions/annex/178/AU1627.pdf
1621,UNSTARRED ,11.02.2022,WOMEN AND CHILD DEVELOPMENT,"Shejwalkar,Shri Vivek Narayan,Baghel,Shri Vijay,Sao,Shri Arun,Soni,Shri Sunil Kumar",Schemes for Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/178/AU1621.pdf
57,STARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Kuriakose,Adv. Dean,Ajmal, Maulana Badruddin",Schemes for Adolescent Girls,http://164.100.24.220/loksabhaquestions/annex/178/AS57.pdf
49,STARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Ariff,Adv. Abdul Majeed",Cases under POCSO Act,http://164.100.24.220/loksabhaquestions/annex/178/AS49.pdf
41,STARRED Supp. Ques  ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Mahato,Shri Jyotirmay Singh,Kora,Smt. Geeta",Integrated Child Development Scheme,http://164.100.24.220/loksabhaquestions/annex/178/AS41.pdf
679,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Naik-Nimbalkar,Shri Ranjeetsinha Hindurao,Shrangre,Shri Sudhakar Tukaram,Saraswati,Shri Sumedhanand,Singh,Shri Sunil Kumar,Udasi,Shri Shivkumar Chanabasappa,Patel,Shri Devji Mansingram,Singh,Shri Pradeep Kumar",Implementation of Programmes for Women and Children,http://164.100.24.220/loksabhaquestions/annex/178/AU679.pdf
674,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Jaunapuria,Shri Sukhbir Singh",Schemes for Empowerment of Women and Development of Child,http://164.100.24.220/loksabhaquestions/annex/178/AU674.pdf
642,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Kataria,Shri Rattan Lal",Sexual Harrassment of Children,http://164.100.24.220/loksabhaquestions/annex/178/AU642.pdf
628,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Basheer,Shri E. T. Mohammed",Mahila Police Volunteers,http://164.100.24.220/loksabhaquestions/annex/178/AU628.pdf
610,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Kalanidhi,Dr. V.",Malnutrition,http://164.100.24.220/loksabhaquestions/annex/178/AU610.pdf
597,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Jagathrakshakan,Shri S.",Global Hunger Index,http://164.100.24.220/loksabhaquestions/annex/178/AU597.pdf
596,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Ram,Shri Vishnu Dayal",Girl Child Education,http://164.100.24.220/loksabhaquestions/annex/178/AU596.pdf
593,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Gandhi,Shri Rahul",Impact of Closure of Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/178/AU593.pdf
590,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Bhatia,Shri Sanjay",Financial Empowerment of Women,http://164.100.24.220/loksabhaquestions/annex/178/AU590.pdf
588,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Pandey,Shri Santosh",Funds under PMMVY,http://164.100.24.220/loksabhaquestions/annex/178/AU588.pdf
577,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Siddeshwara,Shri Gowdar Mallikarjunappa",Adoption of Child,http://164.100.24.220/loksabhaquestions/annex/178/AU577.pdf
568,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Venkatesan,Shri S.",Violence Against Women,http://164.100.24.220/loksabhaquestions/annex/178/AU568.pdf
551,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Sridhar,Shri Kotagiri",Maternity Benefits under PMMVY,http://164.100.24.220/loksabhaquestions/annex/178/AU551.pdf
543,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Patel,Shri Mitesh Rameshbhai (Bakabhai),Patel,Smt. Shardaben Anilbhai",Welfare of Women belonging to Economically Weaker Section,http://164.100.24.220/loksabhaquestions/annex/178/AU543.pdf
542,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Bhavana Gawali (Patil), Ms.",Vaccination Facilities under ICDS,http://164.100.24.220/loksabhaquestions/annex/178/AU542.pdf
537,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Bharat,Shri Margani",Orphaned Children,http://164.100.24.220/loksabhaquestions/annex/178/AU537.pdf
534,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Majumdar,Dr. Sukanta,Sinha,Shri Jayant",Rashtriya Mahila Kosh,http://164.100.24.220/loksabhaquestions/annex/178/AU534.pdf
533,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Mohanty,Shri Anubhav,Ulaka,Shri Saptagiri Sankar",Funds to Odisha under Various Schemes,http://164.100.24.220/loksabhaquestions/annex/178/AU533.pdf
531,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Bisen,Dr. Dhal Singh",Mahila Shakti Kendra,http://164.100.24.220/loksabhaquestions/annex/178/AU531.pdf
525,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Pandey,Shri Ritesh",Miserable Conditions of Children,http://164.100.24.220/loksabhaquestions/annex/178/AU525.pdf
524,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Gnanathiraviam,Shri S.",Non-utilisation of Welfare Funds,http://164.100.24.220/loksabhaquestions/annex/178/AU524.pdf
520,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Rathore,Col. Rajyavardhan Singh,Joshi,Shri Chandra Prakash",Hostels for Working Women,http://164.100.24.220/loksabhaquestions/annex/178/AU520.pdf
517,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Shejwalkar,Shri Vivek Narayan",Empowerment of Women,http://164.100.24.220/loksabhaquestions/annex/178/AU517.pdf
508,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Naik,Shri Raja Amareshwara,Roy,Dr. Jayanta Kumar,Singh Deo,Smt. Sangeeta Kumari",Achievements under Pradhan Mantri Matru Vandana Yojana,http://164.100.24.220/loksabhaquestions/annex/178/AU508.pdf
487,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Dhairyasheel,shri,Sambhajirao Mane,Mandlik,Shri Sanjay Sadashivrao,Yadav,Shri Ram Kripal,Prakash,Adv. Adoor,Shukla,Shri Ravindra Shyamnarayan alias Ravi Kishan,Vichare,Shri Rajan Baburao ,Barne,Shri Shrirang Appa,Gupta,Shri Sudheer,Tiwari,Shri Manoj Kumar,Kushawaha,Shri Ravindra,Mahato,Shri Bidyut Baran,Jadhav,Shri Prataprao",Rehabilitation of Orphan/Street Children,http://164.100.24.220/loksabhaquestions/annex/178/AU487.pdf
485,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Selvaraj,Shri M.",Grand-in-Aid for Voluntary Organisations,http://164.100.24.220/loksabhaquestions/annex/178/AU485.pdf
482,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Surya,Shri L.S. Tejasvi",Assistance Provided by One Stop Centres,http://164.100.24.220/loksabhaquestions/annex/178/AU482.pdf
470,UNSTARRED ,04.02.2022,WOMEN AND CHILD DEVELOPMENT,"Maran,Thiru Dayanidhi",Financial Impact of COVID-19 on Women,http://164.100.24.220/loksabhaquestions/annex/178/AU470.pdf
300,STARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Gogoi,Shri Gaurav",Victims of Human Trafficking,http://164.100.24.220/loksabhaquestions/annex/177/AS300.pdf
296,STARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Kumari,Ms. Diya",Review of Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/177/AS296.pdf
290,STARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Bhavana Gawali (Patil), Ms. ,Tadas,Shri Ramdas Chandrabhanji",Pradhan Mantri Mahila Shakti Kendra Scheme,http://164.100.24.220/loksabhaquestions/annex/177/AS290.pdf
288,STARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Bapat,Shri Girish Bhalchandra,Munde,Dr. Pritam Gopinath",Women Helpline Scheme,http://164.100.24.220/loksabhaquestions/annex/177/AS288.pdf
281,STARRED Supp. Ques  ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Kanumuru,Shri Raghu Ramakrishna Raju,Chauhan,Shri Nihal Chand",NCPCR Inquiry on Malnutrition Deaths,http://164.100.24.220/loksabhaquestions/annex/177/AS281.pdf
3450,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Mandal,Smt. Manjulata",Remuneration under Mission Vatsalya,http://164.100.24.220/loksabhaquestions/annex/177/AU3450.pdf
3433,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Rana,Smt Navneet Ravi",Juvenile Homes,http://164.100.24.220/loksabhaquestions/annex/177/AU3433.pdf
3421,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Kora,Smt. Geeta",Schemes for Safety of Women and Child in Jharkhand,http://164.100.24.220/loksabhaquestions/annex/177/AU3421.pdf
3418,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Premachandran,Shri N.K.",Reform of Child Adoption Procedure,http://164.100.24.220/loksabhaquestions/annex/177/AU3418.pdf
3415,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Mandal,Shri Ajay Kumar",Gender Parity in Household Work,http://164.100.24.220/loksabhaquestions/annex/177/AU3415.pdf
3409,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Anuradha,Smt. Chinta ,Mondal,Shri Sunil Kumar",Funds to Child Care Institutions,http://164.100.24.220/loksabhaquestions/annex/177/AU3409.pdf
3403,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Dhanorkar,Shri Balubhau (Alias Suresh Narayan)",Special Call Centre,http://164.100.24.220/loksabhaquestions/annex/177/AU3403.pdf
3397,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Hembram,Shri Kunar",Task Force for ICDS Scheme,http://164.100.24.220/loksabhaquestions/annex/177/AU3397.pdf
3394,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Pachauri,Shri Satyadev",Funds to Uttar Pradesh under National Nutrition Mission,http://164.100.24.220/loksabhaquestions/annex/177/AU3394.pdf
3354,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Tiwari,Shri Manoj Kumar",New Welfare Schemes for Women/Child of Weaker Section,http://164.100.24.220/loksabhaquestions/annex/177/AU3354.pdf
3335,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Meena,Smt. Jaskaur",Atrocities Against Women,http://164.100.24.220/loksabhaquestions/annex/177/AU3335.pdf
3333,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Maran,Thiru Dayanidhi",Rehabilitation of Victims of Human Trafficking,http://164.100.24.220/loksabhaquestions/annex/177/AU3333.pdf
3321,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Ram Mohan Naidu,Shri Kinjarapu",Delinking of Aadhar Details of Husband,http://164.100.24.220/loksabhaquestions/annex/177/AU3321.pdf
3315,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Kumar,Shri Narendra",Participation of Women in Workforce,http://164.100.24.220/loksabhaquestions/annex/177/AU3315.pdf
3299,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Naik,Shri Raja Amareshwara,Majumdar,Dr. Sukanta,Singh,Shri Bhola,Sonkar,Shri Vinod Kumar,Sigriwal,Shri Janardan Singh,Gandhi,Smt. Maneka Sanjay",Complaints under SHe-Box,http://164.100.24.220/loksabhaquestions/annex/177/AU3299.pdf
3289,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Bapat,Shri Girish Bhalchandra,Sahu,Shri Chandra Sekhar,Munde,Dr. Pritam Gopinath,Shewale,Shri Rahul Ramesh",Projects under Nirbhaya Fund,http://164.100.24.220/loksabhaquestions/annex/177/AU3289.pdf
3288,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Seth,Shri Sanjay",Compensation to Victims of Trafficking,http://164.100.24.220/loksabhaquestions/annex/177/AU3288.pdf
3284,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Kamait,Shri Dileshwar,Sharma,Shri Jugal Kishore",Insurance for Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/177/AU3284.pdf
3283,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Jawed,Dr. Mohammad,Sigriwal,Shri Janardan Singh",Study on Impact of PMMVY,http://164.100.24.220/loksabhaquestions/annex/177/AU3283.pdf
3277,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Namgyal,Shri Jamyang Tsering",Rising Cases of Domestic Violence in Ladakh,http://164.100.24.220/loksabhaquestions/annex/177/AU3277.pdf
3275,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Vanga,Smt. Geetha Viswanath,Kanumuru,Shri Raghu Ramakrishna Raju,Reddy,Shri Kotha Prabhakar",Scale of Hunger,http://164.100.24.220/loksabhaquestions/annex/177/AU3275.pdf
3272,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Dilip,Shri Saikia",Various Schemes in Assam and Arunachal Pradesh,http://164.100.24.220/loksabhaquestions/annex/177/AU3272.pdf
3269,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Bisoyi,Smt. Pramila",Adoption Procedure under Juvenile Justice Act,http://164.100.24.220/loksabhaquestions/annex/177/AU3269.pdf
3256,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Sudhakaran,Shri Kumbakudi",Additional Funds to Anganwadi,http://164.100.24.220/loksabhaquestions/annex/177/AU3256.pdf
3242,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Ajmal, Maulana Badruddin,Tagore B,Shri Manickam",Malnourished Children in Anganwadis,http://164.100.24.220/loksabhaquestions/annex/177/AU3242.pdf
3228,UNSTARRED ,17.12.2021,WOMEN AND CHILD DEVELOPMENT,"Natarajan,Shri P.R.",Global Gender Gap Report,http://164.100.24.220/loksabhaquestions/annex/177/AU3228.pdf
196,STARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Bapat,Shri Girish Bhalchandra,Sahu,Shri Chandra Sekhar",Social Audit of Children Homes,http://164.100.24.220/loksabhaquestions/annex/177/AS196.pdf
2300,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Tharoor,Dr. Shashi",Child Pornography,http://164.100.24.220/loksabhaquestions/annex/177/AU2300.pdf
2296,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Kolhe,Dr. Amol Ramsing,Tatkare,Shri Sunil Dattatray,Sharma,Shri Kuldeep Rai,Rathod,Shri Ratansinh Magansinh,Sule,Smt. Supriya Sadanand,Senthilkumar. S.,Shri DNV",Integrated Child Development Services Scheme,http://164.100.24.220/loksabhaquestions/annex/177/AU2296.pdf
2294,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Gupta,Shri Sangamlal Kadedin,Chaudhary,Shri P.P.,Solanky,Shri Mahendra Singh,Yadav,Shri Krishna Pal Singh,Singh,Shri Rajbahadur,Agrawal, Shri Rajendra,Sarangi,Shri Pratap Chandra",Creches for Children of Jail Employee,http://164.100.24.220/loksabhaquestions/annex/177/AU2294.pdf
2285,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Pal ,Shri Jagdambika",Female Genital Mutilation,http://164.100.24.220/loksabhaquestions/annex/177/AU2285.pdf
2283,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Yadav,Shri Ram Kripal",Funds to Bihar under National Nutrition Mission,http://164.100.24.220/loksabhaquestions/annex/177/AU2283.pdf
2275,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Mandal,Shri Ajay Kumar",Schemes for Women and Children,http://164.100.24.220/loksabhaquestions/annex/177/AU2275.pdf
2273,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Banerjee,Shri Kalyan",Mental Health Counseling,http://164.100.24.220/loksabhaquestions/annex/177/AU2273.pdf
2272,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Jaiswal,Dr. Sanjay",Setting up of New Anganwadis,http://164.100.24.220/loksabhaquestions/annex/177/AU2272.pdf
2262,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Shukla,Shri Ravindra Shyamnarayan alias Ravi Kishan,Kushawaha,Shri Ravindra",Amendment to Sexual Harasment at Workplace ACT,http://164.100.24.220/loksabhaquestions/annex/177/AU2262.pdf
2239,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Pandey,Shri Santosh",Malnourished Children in Chhatisgarh,http://164.100.24.220/loksabhaquestions/annex/177/AU2239.pdf
2238,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Patil,Shri Sanjay(Kaka) Ramchandra",Activities under Rashtriya Poshan Maah,http://164.100.24.220/loksabhaquestions/annex/177/AU2238.pdf
2234,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Nishad,Shri Ajay",Anganwadi Kendras in Areas under Tribal Sub Plan,http://164.100.24.220/loksabhaquestions/annex/177/AU2234.pdf
2232,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Bhavana Gawali (Patil), Ms. ,Tumane,Shri Krupal Balaji",Infrastructural Development of Anganwadi Centres,http://164.100.24.220/loksabhaquestions/annex/177/AU2232.pdf
2229,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Basheer,Shri E. T. Mohammed",Mahila Police Volunteers,http://164.100.24.220/loksabhaquestions/annex/177/AU2229.pdf
2225,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Ramesh,Shri T.R.V.S.",Mahila Shakti Kendra,http://164.100.24.220/loksabhaquestions/annex/177/AU2225.pdf
2218,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Yadav,Shri Dinesh Chandra",Child Marriages,http://164.100.24.220/loksabhaquestions/annex/177/AU2218.pdf
2216,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Singh,Dr. Amar",Criteria for Recruitment of Anganwadi Workers,http://164.100.24.220/loksabhaquestions/annex/177/AU2216.pdf
2210,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Eden,Shri Hibi",Child Welfare Committee,http://164.100.24.220/loksabhaquestions/annex/177/AU2210.pdf
2200,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Parthiban,Shri S.R.",Role of Internet in Crimes of Trafficking,http://164.100.24.220/loksabhaquestions/annex/177/AU2200.pdf
2166,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Sharma,Shri Anurag",Child Protection Policy,http://164.100.24.220/loksabhaquestions/annex/177/AU2166.pdf
2158,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Kirtikar,Shri Gajanan Chandrakant,Kumar,Shri Dhanush M,Annadurai,Shri C.N.,Pon,Shri Gautham Sigamani",Poshan Jagrukta Abhiyaan,http://164.100.24.220/loksabhaquestions/annex/177/AU2158.pdf
2143,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Ambareesh,Smt. Sumalatha,Suresh,Shri Doddaalahalli Kempegowda,Kodikunnil,Shri Suresh,Kateel,Shri Nalin Kumar,Ray,Prof. Sougata",Cases of Woman and Child Abuse,http://164.100.24.220/loksabhaquestions/annex/177/AU2143.pdf
2141,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Chidambaram,Shri Karti P.",Menstrual Leave,http://164.100.24.220/loksabhaquestions/annex/177/AU2141.pdf
2140,UNSTARRED ,10.12.2021,WOMEN AND CHILD DEVELOPMENT,"Godse,Shri Hemant Tukaram,Ajmal, Maulana Badruddin",CSS Scheme for Women and Child,http://164.100.24.220/loksabhaquestions/annex/177/AU2140.pdf
